titel;bedrag
[text];[MEUR/Yr]
AardGas_maatschappelijk;-373.632094
EnergieHeffing_AardGas;-825.654536
GasNet_Vastrecht;-286.977285
Elektriciteit_maatschappelijk;-3826.63744
EnergieHeffing_Elektriciteit;-765.171527
ElektriciteitsNet_Vastrecht;-773.792888
Utiliteit_Eigenaar_VergoedingLabelSprong;-770.74532
Utiliteit_Eigenaar_VergoedingZonPV;0
Utiliteit_Eigenaar_VergoedingZonneBoiler;0
Leverancier_Vastrecht_GeoThermie;-97.4844859
Leverancier_Vastrecht_RestWarmte;-155.567703
Leverancier_Vastrecht_BioWKK;-45.773866
Leverancier_Vastrecht_WijkWKK;0
Leverancier_Warmte_GeoThermie;-226.253577
Leverancier_Warmte_RestWarmte;-336.952842
Leverancier_Warmte_BioWKK;-101.545173
Leverancier_Warmte_WijkWKK;0
Leverancier_Verbruik_WKO;-284.052259
Comfort_Koude_WKO;0
