titel;bedrag
[text];[MEUR/Yr]
KL_p_GeoThermie;-192.620513
KL_p_RestWarmte;-134.658695
KL_p_BioWKK;-34.4977566
KL_p_WijkWKK;0
Onderhoud_GeoThermie;-117.346035
Onderhoud_RestWarmte;-127.257157
Onderhoud_BioWKK;-13.6602953
Onderhoud_WijkWKK;0
Admin_GeoThermie;-72.1762372
Admin_RestWarmte;-99.1094712
Admin_BioWKK;-9.92833925
Admin_WijkWKK;0
Precario_GeoThermie;-24.7680008
Precario_RestWarmte;-51.4084712
Precario_BioWKK;-6.10028962
Precario_WijkWKK;0
AardGas_GeoThermie_bijstook;-118.719135
AardGas_RestWarmte_bijstook;-77.8454958
AardGas_BioWKK_bijstook;-10.2512679
AardGas_WijkWKK_bijstook;0
EnergieHeffing_GeoThermie_bijstook;-270.559188
EnergieHeffing_RestWarmte_bijstook;-177.408757
EnergieHeffing_BioWKK_bijstook;-23.3624909
EnergieHeffing_WijkWKK_bijstook;0
KL_p_WKO;-510.651175
Precario_WKO;-100.741527
KL_p_GeoThermie_EIA;0
KL_p_RestWarmte_EIA;0
KL_p_BioWKK_EIA;0
KL_p_WijkWKK_EIA;0
Subsidie_GeoThermie_EEA;0
Subsidie_RestWarmte_EEA;0
Subsidie_BioWKK_EEA;0
Subsidie_WijkWKK_EEA;0
Leverancier_Verrekening;1561.6776
KL_p_WKO_EIA;0
Subsidie_WKO_EEA;0
Leverancier_VerrekeningWKO;611.392703
