name;Oj_Totaal;Kj_Totaal;Oj_Netto;LokaleOpwekking;Gebouw;Admin;Comfort;InpandigeDistributie;WijkDistributie;PrimairTransport;Opwekking;InpandigeDistributeur;WijkDistributeur;PrimairTransporteur;Leverancier;KL_p;KL_e;BTW;Subsidie;Woning_Eigenaar;UitlegWoning_Eigenaar;Utiliteit_Eigenaar;UitlegUtil_Eigenaar;Glastuinbouw_Eigenaar;UitlegGlTb_Eigenaar;GeoThermie;RestWarmte;WKO;BioWKK;WijkWKK
[text];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr];[MEUR/Yr]
LokaleOpwekking;3563.21012;0;3563.21012;0;0;0;0;0;0;0;0;0;0;0;0;0;3563.21012;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebouw;20834.0119;0;20834.0119;0;0;0;0;0;0;0;0;0;0;0;0;0;20834.0119;0;0;0;0;0;0;0;0;0;0;0;0;0
Admin;49.8716;0;49.8716;0;0;0;0;0;0;0;0;0;0;0;0;0;49.8716;0;0;0;0;0;0;0;0;0;0;0;0;0
Comfort;14.91675;0;14.91675;0;0;0;0;0;0;0;0;0;0;0;0;0;14.91675;0;0;0;0;0;0;0;0;0;0;0;0;0
InpandigeDistributie;3408.34806;0;3408.34806;0;0;0;0;0;0;0;0;0;0;0;0;3408.34806;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WijkDistributie;10409.3227;0;10409.3227;0;0;0;0;0;0;0;0;0;0;0;0;10409.3227;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PrimairTransport;430.614021;0;430.614021;0;0;0;0;0;0;0;0;0;0;0;0;430.614021;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Opwekking;15574.0131;0;15574.0131;0;0;0;0;0;0;0;0;0;0;0;0;15574.0131;0;0;0;0;0;0;0;0;0;0;0;0;0;0
InpandigeDistributeur;0;3408.34806;-3408.34806;0;0;0;0;0;0;0;0;0;0;0;0;-3408.34806;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WijkDistributeur;0;10409.3227;-10409.3227;0;0;0;0;0;0;0;0;0;0;0;0;-10409.3227;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PrimairTransporteur;0;430.614021;-430.61402;0;0;0;0;0;0;0;0;0;0;0;0;-430.61402;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leverancier;15004.8439;0;15004.8439;0;0;0;0;0;0;0;0;0;0;0;0;15004.8439;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KL_p;44827.1417;44827.1417;0;0;0;0;0;-3408.34806;-10409.3227;-430.61402;-15574.0131;3408.34806;10409.3227;430.614021;-15004.8439;0;15004.8439;0;0;0;0;0;0;0;0;3769.90991;124.188742;11420.784;259.130427;0
KL_e;44940.0034;44940.0034;1E-06;-3563.21012;-20834.0119;-49.871599;-14.916749;0;0;0;0;0;0;0;0;-15004.8439;0;-5473.14907;0;17559.8043;19441.9523;7890.03861;48.208061;0;0;0;0;0;0;0
BTW;5473.14908;0;5473.14908;0;0;0;0;0;0;0;0;0;0;0;0;0;5473.14908;0;0;0;0;0;0;0;0;0;0;0;0;0
Subsidie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Woning_Eigenaar;0;17559.8043;-17559.8043;0;0;0;0;0;0;0;0;0;0;0;0;0;-17559.8043;0;0;0;0;0;0;0;0;0;0;0;0;0
UitlegWoning_Eigenaar;0;19441.9523;-19441.9523;0;0;0;0;0;0;0;0;0;0;0;0;0;-19441.9523;0;0;0;0;0;0;0;0;0;0;0;0;0
Utiliteit_Eigenaar;0;7890.03861;-7890.03861;0;0;0;0;0;0;0;0;0;0;0;0;0;-7890.03861;0;0;0;0;0;0;0;0;0;0;0;0;0
UitlegUtil_Eigenaar;0;48.208061;-48.20806;0;0;0;0;0;0;0;0;0;0;0;0;0;-48.20806;0;0;0;0;0;0;0;0;0;0;0;0;0
Glastuinbouw_Eigenaar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UitlegGlTb_Eigenaar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GeoThermie;0;3769.90991;-3769.90991;0;0;0;0;0;0;0;0;0;0;0;0;-3769.90991;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestWarmte;0;124.188742;-124.188741;0;0;0;0;0;0;0;0;0;0;0;0;-124.188741;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WKO;0;11420.784;-11420.784;0;0;0;0;0;0;0;0;0;0;0;0;-11420.784;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;0;259.130427;-259.130426;0;0;0;0;0;0;0;0;0;0;0;0;-259.130426;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
