Afnemer;Oj_Totaal;Kj_Totaal;Oj_Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr]
GebouwVerbetering;3144.80475;0;3144.80475;874.586155;0;330.24682;0;0;0;140.89497;445.167615;1311.41586;0;42.4933329;0
LokaleOpwekking;651.502841;0;651.502841;0;221.812431;98.6666087;0;0;0;282.150039;0.00580674394;0;0;48.867956;0
Gas;5844.66262;0;5844.66262;3013.46859;92.8672966;660.609379;115.417041;272.213082;0;77.8454958;118.719135;0;0;10.2512679;1483.27133
Elektra;11495.1392;0;11495.1392;3509.3009;1823.00114;4464.79589;656.550632;742.591854;0;0;0;445.575645;0;-35.440746;-111.236077
RestWarmte;1221.4543;1098.11346;123.340832;432.828701;97.5365407;506.150501;33.4621588;151.476394;0;0;0;0;0;0;0
GeoThermie;1361.56253;1232.82248;128.740057;166.083937;24.9659273;335.960454;34.9295809;799.622635;0;0;0;0;0;0;0
WKO;2780.71192;2211.61189;569.100032;150.587439;2303.19064;318.351074;8.58276578;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;187.484481;187.875967;-0.391486523;28.941911;2.87652877;152.125082;3.5067529;0.0342058908;0;0;0;0;0;0;0
Onderhoud & Verbruik;457.477104;0;457.477104;-43.074;-215.520103;54.8506791;0;0;0;323.885923;250.119526;5.74837884;0;81.4666999;0
CO2 Heffing;322.01199;0;322.01199;81.5980375;41.2556814;135.634439;19.6974314;27.7031913;0;0;0;16.1232097;0;0;0
Energie heffing;9599.32862;1372.03526;8227.29337;6073.05478;494.581081;1590.82606;296.66763;517.537289;0;177.408757;270.559188;155.331338;0;23.3624909;0
BTW;4233.76336;0;4233.76336;2943.80064;1097.33339;0;0;0;0;61.019514;24.7680008;100.741527;0;6.10028962;0
RisicoPremie;1027.97444;0;1027.97444;191.95551;231.633632;239.498296;19.0444304;5.96046448E-13;0;34.9087652;123.483206;176.675926;0;10.7746759;0
