GlasTuinBouwType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
onbekend;0;0;0;0;0;0;0
Glastuinbouw_groente_verwarmd;42826071;4312755;20145779;0;84;0;18367453
Glastuinbouw_groente_onverwarmd;2416531;38857;443798;0;4;0;1933872
Glastuinbouw_groente_belicht;2856394;435527;1527267;0;0;0;893600
Glastuinbouw_groente_onbelicht;42386208;3916085;19062310;0;88;0;19407725
Glastuinbouw_bloemen_verwarmd;44166369;3644281;21828938;0;1822;0;18691328
Glastuinbouw_bloemen_onverwarmd;2734481;164269;956595;0;248;0;1613369
Glastuinbouw_bloemen_belicht;15845669;1455094;8577049;0;300;0;5813226
Glastuinbouw_bloemen_onbelicht;31055181;2353456;14208484;0;1770;0;14491471
Glastuinbouw_overig_verwarmd;1684975;27696;177441;0;0;0;1479838
Glastuinbouw_overig_onverwarmd;2054529;22622;221293;0;296;0;1810318
Glastuinbouw_overig_belicht;0;0;0;0;0;0;0
Glastuinbouw_overig_onbelicht;0;0;0;0;0;0;0
