GlasTuinBouwType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
onbekend;0;0;0;0;0;0;0
Glastuinbouw_groente_verwarmd;42826071;0;0;0;0;0;0
Glastuinbouw_groente_onverwarmd;2416531;0;0;0;0;0;0
Glastuinbouw_groente_belicht;2856394;0;0;0;0;0;0
Glastuinbouw_groente_onbelicht;42386208;0;0;0;0;0;0
Glastuinbouw_bloemen_verwarmd;44166369;0;0;0;0;0;0
Glastuinbouw_bloemen_onverwarmd;2734481;0;0;0;0;0;0
Glastuinbouw_bloemen_belicht;15845669;0;0;0;0;0;0
Glastuinbouw_bloemen_onbelicht;31055181;0;0;0;0;0;0
Glastuinbouw_overig_verwarmd;1684975;0;0;0;0;0;0
Glastuinbouw_overig_onverwarmd;2054529;0;0;0;0;0;0
Glastuinbouw_overig_belicht;0;0;0;0;0;0;0
Glastuinbouw_overig_onbelicht;0;0;0;0;0;0;0
