UtiliteitsType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
kantoor;19188248;2518956;1712630;0;228282;844311;13884069
winkel;3745936;314920;376365;0;103346;27449;2923856
groothandel;0;0;0;0;0;0;0
autohandel_reperatie;0;0;0;0;0;0;0
verzorging_verpleging;1483357;78485;110223;0;5813;15724;1273112
ziekenhuis;0;0;0;0;0;0;0
onderwijs;15839693;684114;1383202;0;23155;93118;13656104
horeca;1691107;95287;132886;0;3483;0;1459451
overig;4628569;249148;358806;0;37153;0;3983462
