titel;bedrag
[text];[MEUR/Yr]
GasNet_Aansluitbijdrage_Woning;0
GasNet_Aansluitbijdrage_UitlegWoning;-2.52525996
GasNet_Aansluitbijdrage_Utiliteit;0
GasNet_Aansluitbijdrage_UitlegUtil;-12.5915124
GasNet_Aansluitbijdrage_Glastuinbouw;0
GasNet_Aansluitbijdrage_UitlegGlTb;0
BTW_Aansluitbijdrage_AardGasWoning;0
BTW_Aansluitbijdrage_AardGasUitlegWoning;-0.530304591
ElektriciteitsNet_AansluitbijdrageWoning;0
ElektriciteitsNet_AansluitbijdrageUitlegWoning;-84.0530749
ElektriciteitsNet_AansluitbijdrageUtiliteit;0
ElektriciteitsNet_AansluitbijdrageUitlegUtil;-19.1640694
ElektriciteitsNet_AansluitbijdrageGlastuinbouw;0
ElektriciteitsNet_AansluitbijdrageUitlegGlTb;0
BTW_ElektriciteitAansluitbijdrageWoning;0
BTW_ElektriciteitAansluitbijdrageUitlegWoning;-17.6511457
LokaleOpwekking_Woning30j;0
LokaleOpwekking_UitlegWoning30j;0
LokaleOpwekking_Utiliteit30j;0
LokaleOpwekking_UitlegUtil30j;0
LokaleOpwekking_Glastuinbouw30j;0
LokaleOpwekking_UitlegGlTb30j;0
BTW_Woning30j;0
BTW_UitlegWoning30j;0
LokaleOpwekking_Woning15j;0
LokaleOpwekking_UitlegWoning15j;-375.548449
LokaleOpwekking_Utiliteit15j;-135.851711
LokaleOpwekking_UitlegUtil15j;0
LokaleOpwekking_Glastuinbouw15j;0
LokaleOpwekking_UitlegGlTb15j;0
BTW_Woning15j;0
BTW_UitlegWoning15j;-78.8651742
Gebouw_GebouwverbeteringWoning;-1036.3184
Gebouw_GebouwverbeteringUitlegWoning;0
Gebouw_GebouwverbeteringUtiliteit;-464.024479
Gebouw_GebouwverbeteringUitlegUtil;0
Gebouw_GebouwverbeteringGlastuinbouw;0
Gebouw_GebouwverbeteringUitlegGlTb;0
BTW_GebouwverbeteringWoning;-139.902984
BTW_GebouwverbeteringUitlegWoning;0
Woning_Eigenaar_EIA30;0
UitlegWoning_Eigenaar_EIA30;0
Utiliteit_Eigenaar_EIA30;0
UitlegUtil_Eigenaar_EIA30;0
Glastuinbouw_Eigenaar_EIA30;0
UitlegGlTb_Eigenaar_EIA30;0
Woning_Eigenaar_EIA15;0
UitlegWoning_Eigenaar_EIA15;0
Utiliteit_Eigenaar_EIA15;0
UitlegUtil_Eigenaar_EIA15;0
Glastuinbouw_Eigenaar_EIA15;0
UitlegGlTb_Eigenaar_EIA15;0
BTW_Aansluitbijdrage_GeoThermie_Woning;-1.65908407
BTW_Aansluitbijdrage_RestWarmte_Woning;-1.1260845
BTW_Aansluitbijdrage_BioWKK_Woning;-0.182414685
BTW_Aansluitbijdrage_WijkWKK_Woning;0
BTW_Aansluitbijdrage_GeoThermie_UitlegWoning;-2.55227191
BTW_Aansluitbijdrage_RestWarmte_UitlegWoning;-1.73570099
BTW_Aansluitbijdrage_BioWKK_UitlegWoning;-0.171753749
BTW_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_p_Aansluitbijdrage_GeoThermie_Woning;-7.90040034
KL_p_Aansluitbijdrage_RestWarmte_Woning;-5.36230713
KL_p_Aansluitbijdrage_BioWKK_Woning;-0.868641358
KL_p_Aansluitbijdrage_WijkWKK_Woning;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegWoning;-12.1536758
KL_p_Aansluitbijdrage_RestWarmte_UitlegWoning;-8.26524282
KL_p_Aansluitbijdrage_BioWKK_UitlegWoning;-0.817874993
KL_p_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_p_Aansluitbijdrage_GeoThermie_Utiliteit;-14.4417793
KL_p_Aansluitbijdrage_RestWarmte_Utiliteit;-14.3682992
KL_p_Aansluitbijdrage_BioWKK_Utiliteit;-4.54859526
KL_p_Aansluitbijdrage_WijkWKK_Utiliteit;0
KL_p_Aansluitbijdrage_GeoThermie_UitlegUtil;-3.4378346
