titel;bedrag
[text];[MEUR/Yr]
KL_e_AardGas;0
KL_e_Elektriciteit;0
KL_e_ZonneBoiler;0
KL_e_Zon_PV;0
KL_e_mWKK;0
KL_e_eWP;0
KL_e_EWV;0
KL_e_hWP;0
Onderhoud_LokaleOpwekking;0
BTW_LokaleOpwekking_OA;0
KL_e_Gebouwverbetering;-1399.45067
KL_e_Aansluitbijdrage_GeoThermie;-11.2800465
KL_e_Aansluitbijdrage_RestWarmte;-7.6562036
KL_e_Aansluitbijdrage_BioWKK;-1.24023017
KL_e_Aansluitbijdrage_WijkWKK;0
KL_e_projectmanagement;-5.28257291
KL_e_ongeriefsvergoeding;-2.10628824
Comfort_HuurVerlaging;-29.8128
KL_e_Aansluitbijdrage_WKO;-33.0976112
KL_e_projectmanagement_WKO;-6.1906413
KL_e_ongeriefsvergoeding_WKO;-2.85259804
Woning_Gebruiker_VergoedingLabelSprong;1640.52279
Woning_Gebruiker_VergoedingZonPV;0
Woning_Gebruiker_VergoedingZonneBoiler;0
Subsidie_LokaleOpwekking;0
KL_e_EIA30;0
KL_e_EIA15;0
KL_e_EIA;0
Subsidie_EEA;0
Leverancier_Verrekening;37.2016611
KL_e_EIA_WKO;0
Subsidie_EEA_WKO;0
Leverancier_VerrekeningWKO;9.04323934
