titel;bedrag
[text];[MEUR]
KL_e_Woning30j;0
KL_e_UitlegWoning30j;0
KL_e_Woning15j;0
KL_e_UitlegWoning15j;876.853562
KL_e_GebouwverbeteringWoning;2419.20706
KL_e_GebouwverbeteringUitlegWoning;0
KL_e_Aansluitbijdrage_GeoThermie_Woning;27.6454228
KL_e_Aansluitbijdrage_RestWarmte_Woning;18.7640172
KL_e_Aansluitbijdrage_BioWKK_Woning;3.03958743
KL_e_Aansluitbijdrage_WijkWKK_Woning;0
KL_e_Aansluitbijdrage_GeoThermie_UitlegWoning;42.5286682
KL_e_Aansluitbijdrage_RestWarmte_UitlegWoning;28.9220953
KL_e_Aansluitbijdrage_BioWKK_UitlegWoning;2.86194357
KL_e_Aansluitbijdrage_WijkWKK_UitlegWoning;0
KL_e_Aansluitbijdrage_WKO_Woning;81.1164615
KL_e_Aansluitbijdrage_WKO_UitlegWoning;3845.46564
