WoningType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;67700.4528;0;0;0;56743.7947;0;0
vrijstaand/bungalows;390419.681;0;0;0;295159.152;0;0
twee onder een kap;389632.035;0;0;0;199540.671;0;0
rijtjeshuizen/eengezins;1324953.66;0;0;0;581390.9;0;0
flats 4 of minder verdiepingen;361990.085;0;0;0;105276.704;0;0
flats meer dan 4 verdiepingen;191262.614;0;0;0;71981.0434;0;0
etagewoning/maisonnette;201948.482;0;0;0;93975.5393;0;0
etage/flats grachtenpand;21120.986;0;0;0;5527.54076;0;0
herenhuis grachtenpand;49381.0275;0;0;0;41289.9192;0;0
zelfstandige bejaardenwoning;93430.6905;0;0;0;56162.8475;0;0
boerderij/tuinderij;41054.0663;0;0;0;39332.535;0;0
studentenwoning/flat;20297.2441;0;0;0;5279.51378;0;0
woonboten;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0
divers;100220.999;0;0;0;85788.1343;0;0
