UtiliteitsType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;69984857.6;16778801.7;9488853.58;0;4217304.87;5201028.84;20688185
Winkel;51993543.1;7363024.25;6890064.64;0;2088939.51;2780618.54;26663675.1
Gezondheidszorg;21487068.7;2448145;3459740.92;0;924806.094;2716959.95;6096051.83
Logies;14515764.2;1201410.78;613806.229;0;1298591.88;1034733.33;4048646.12
Onderwijs;38875882.9;4633020.31;3897587.4;0;260991.382;3762387.72;24483972.6
Industrie;40912084;5996938.65;4024229.01;0;744576.812;5714432.81;21669206
Bijeenkomst;33272224;3816613.54;1620386.21;0;970579.65;1911198.78;1725546.76
Sport;13094166.7;1085544.51;1015021.78;0;187606.337;1029925.49;9634528.35
overige_gebruiks;37042786.5;5499903.1;3897263.92;0;669936.963;3687849.86;23252789.5
Cel;890888.503;219439.79;94835;0;28904;284696.181;21923
