UtiliteitsType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;69984857.6;0;0;0;13610683.5;0;0
Winkel;51993543.1;0;0;0;6207221.08;0;0
Gezondheidszorg;21487068.7;0;0;0;5841364.92;0;0
Logies;14515764.2;0;0;0;6318575.83;0;0
Onderwijs;38875882.9;0;0;0;1837923.41;0;0
Industrie;40912084;0;0;0;2762700.72;0;0
Bijeenkomst;33272224;0;0;0;23227899;0;0
Sport;13094166.7;0;0;0;141540.245;0;0
overige_gebruiks;37042786.5;0;0;0;35043.1951;0;0
Cel;890888.503;0;0;0;241090.532;0;0
