UtiliteitsType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;69984857.6;3546127.55;42246437;13610683.5;0;7818441.15;36417239.4;12104955.5;33538.0359;0;0;0
Winkel;51993543.1;4880385.32;34752090.5;6207221.08;0;74933.1634;21142184.6;8629848.41;154628.486;13493725.2;0;2291002.26
Gezondheidszorg;21487068.7;4239630.02;13449625.7;5841364.92;0;2730806.59;9330137.35;3537800.85;46959;0;0;0
Logies;14515764.2;3719025.41;8503298.67;6318575.83;0;892389.211;5864737.52;1194873.61;3616;241572.006;0;0
Onderwijs;38875882.9;1723251.37;26545911.8;1837923.41;0;50114.996;14444948.2;8368049.06;83023.5093;13608141.5;0;483682.179
Industrie;40912084;2233144.77;20878298.2;2762700.72;0;574948.156;23138089.2;8132894.37;370117.44;5933334.11;0;0
Bijeenkomst;33272224;4958466.12;25254948.1;23227899;0;3714220.2;5277587.55;755448.104;0;0;0;297069.081
Sport;13094166.7;140561.845;8428737.48;141540.245;0;0;5787241.56;3820944.93;57344.9088;3156008.13;0;131086.944
overige_gebruiks;37042786.5;30415.9964;21400898.3;35043.1951;0;0;18093523.2;5550134.68;152368.476;11593848.8;0;1617868.18
Cel;890888.503;206294.054;540046.107;241090.532;0;256244.433;286244.537;107309;0;0;0;0
