Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P;;;;;;;;;
2010;3,7;0,454;0,002;0,048;0,002;0,000;0,000;0,000;0,000;0,000;0,009;0,059;0,048;0,002;0,028;0,000;0,028;0,000;0,000;0,000;0,078;0,048;0,002;0,021;0,000;0,021;0,000;0,000;0,000;0,071;0,048;0,002;0,017;0,000;0,017;0,000;0,000;0,000;0,067;;;;;;;;;
2011;3,7;0,454;0,002;0,048;0,002;0,000;0,000;0,000;0,000;0,000;0,009;0,059;0,048;0,002;0,028;0,000;0,028;0,000;0,000;0,000;0,078;0,048;0,002;0,021;0,000;0,021;0,000;0,000;0,000;0,071;0,048;0,002;0,017;0,000;0,017;0,000;0,000;0,000;0,067;;;;;;;;;
2012;3,7;0,454;0,002;0,048;0,002;0,000;0,000;0,000;0,000;0,000;0,010;0,060;0,048;0,002;0,028;0,000;0,028;0,000;0,000;0,000;0,078;0,048;0,002;0,021;0,000;0,021;0,000;0,000;0,000;0,071;0,048;0,002;0,017;0,000;0,017;0,000;0,000;0,000;0,067;;;;;;;;;
2013;3,7;0,454;0,002;0,048;0,002;0,000;0,000;0,000;0,001;0,000;0,011;0,061;0,048;0,002;0,028;0,000;0,028;0,001;0,000;0,000;0,078;0,048;0,002;0,021;0,000;0,021;0,001;0,000;0,000;0,071;0,048;0,002;0,017;0,000;0,017;0,000;0,000;0,000;0,067;;;;;;;;;
2014;3,7;0,419;0,002;0,050;0,002;0,000;0,000;0,000;0,002;0,000;0,011;0,065;0,050;0,002;0,028;0,000;0,028;0,002;0,000;0,000;0,081;0,050;0,002;0,021;0,000;0,021;0,001;0,000;0,000;0,074;0,050;0,002;0,017;0,000;0,017;0,000;0,000;0,000;0,069;;;;;;;;;
2015;3,7;0,383;0,001;0,052;0,001;0,000;0,000;0,000;0,003;0,000;0,012;0,069;0,052;0,001;0,028;0,000;0,028;0,003;0,000;0,000;0,084;0,052;0,001;0,021;0,000;0,021;0,002;0,000;0,000;0,076;0,052;0,001;0,017;0,000;0,017;0,000;0,000;0,000;0,071;;;;;;;;;
2016;3,7;0,348;0,001;0,054;0,001;0,000;0,000;0,000;0,005;0,000;0,013;0,073;0,054;0,001;0,028;0,000;0,028;0,004;0,000;0,000;0,087;0,054;0,001;0,021;0,000;0,021;0,003;0,000;0,000;0,079;0,054;0,001;0,017;0,000;0,017;0,000;0,000;0,000;0,072;;;;;;;;;
2017;3,7;0,312;0,001;0,056;0,001;0,000;0,000;0,000;0,007;0,000;0,014;0,078;0,056;0,001;0,028;0,000;0,028;0,006;0,000;0,000;0,091;0,056;0,001;0,021;0,000;0,021;0,004;0,000;0,000;0,082;0,056;0,001;0,017;0,000;0,017;0,004;0,000;0,000;0,078;;;;;;;;;
2018;3,7;0,277;0,001;0,058;0,001;0,000;0,000;0,000;0,011;0,000;0,015;0,085;0,058;0,001;0,028;0,000;0,028;0,009;0,000;0,000;0,096;0,058;0,001;0,021;0,000;0,021;0,006;0,000;0,000;0,086;0,058;0,001;0,017;0,000;0,017;0,006;0,000;0,000;0,082;;;;;;;;;
2019;3,7;0,242;0,001;0,061;0,001;0,000;0,000;0,000;0,018;0,000;0,017;0,097;0,061;0,001;0,028;0,000;0,028;0,014;0,000;0,000;0,104;0,061;0,001;0,021;0,000;0,021;0,010;0,000;0,000;0,093;0,061;0,001;0,017;0,000;0,017;0,010;0,000;0,000;0,089;;;;;;;;;
