utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;EnergieIndex;EnergieLabel;AC_WARM;R_COLL;;;;MVB_EG;RB_FAC_B;MVB_EG_EUR_MIN;MVB_EG_EUR_MAX;MVC_EG;RB_FAC_C;MVC_EG_EUR_MIN;MVC_EG_EUR_MAX;MVF_EG;RB_FAC_F;MVF_EG_EUR_MIN;MVF_EG_EUR_MAX;MV_RV;K_LTAS_MIN;K_LTAS_MAX
"Glastuinbouw, bloemen, belicht";onbekend;GLTB;0;0.72;1;nvt;0;;1;1.07;1;nvt;0;1;1.333161598;1;;;;;;;;;;;;;;;;;;;;;;
"Glastuinbouw, groente, belicht";onbekend;GLTB;0;0.72;1;nvt;0;;1;1.07;1;nvt;0;1;1.333161598;1;;;;;;;;;;;;;;;;;;;;;;
"Glastuinbouw, overig, belicht";onbekend;GLTB;0;0.72;1;nvt;0;;1;1.07;1;nvt;0;1;1.333161598;1;;;;;;;;;;;;;;;;;;;;;;
"Glastuinbouw, bloemen, verwarmd";onbekend;GLTB;0;0.72;1;nvt;0.941814;;1;1.07;1;nvt;0;1;0;1;;;0.165;0;;;;;;;;;;;;;;;;;;
"Glastuinbouw, groente, verwarmd";onbekend;GLTB;0;0.72;1;nvt;1.092042;;1;1.07;1;nvt;0;1;0;1;;;0.165;0;;;;;;;;;;;;;;;;;;
"Glastuinbouw, overig, verwarmd";onbekend;GLTB;0;0.72;1;nvt;1.016928;;1;1.07;1;nvt;0;1;0;1;;;0.165;0;;;;;;;;;;;;;;;;;;
"Glastuinbouw, bloemen, onbelicht";onbekend;GLTB;0;0.72;1;nvt;0;;1;1.07;1;nvt;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;
"Glastuinbouw, groente, onbelicht";onbekend;GLTB;0;0.72;1;nvt;0;;1;1.07;1;nvt;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;
"Glastuinbouw, overig, onbelicht";onbekend;GLTB;0;0.72;1;nvt;0;;1;1.07;1;nvt;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;
"Glastuinbouw, bloemen, onverwarmd";onbekend;GLTB;0;0.72;1;nvt;0;;1;1.07;1;nvt;0;1;0;1;;;0;0;;;;;;;;;;;;;;;;;;
"Glastuinbouw, groente, onverwarmd";onbekend;GLTB;0;0.72;1;nvt;0;;1;1.07;1;nvt;0;1;0;1;;;0;0;;;;;;;;;;;;;;;;;;
"Glastuinbouw, overig, onverwarmd";onbekend;GLTB;0;0.72;1;nvt;0;;1;1.07;1;nvt;0;1;0;1;;;0;0;;;;;;;;;;;;;;;;;;
