utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;EnergieIndex;EnergieLabel;AC_WARM;R_COLL;;;;MVB_EG;RB_FAC_B;MVB_EG_EUR_MIN;MVB_EG_EUR_MAX;MVC_EG;RB_FAC_C;MVC_EG_EUR_MIN;MVC_EG_EUR_MAX;MVF_EG;RB_FAC_F;MVF_EG_EUR_MIN;MVF_EG_EUR_MAX;MV_RV;K_LTAS_MIN;K_LTAS_MAX
Kantoor;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.98134404;0.01008;1;0.8348;1;nvt;0.086802003;1.56;0.454;1;;G;0.11;0;Let op: zie LeesMij 2-4-2016;;;0.210028709;0;100.8108181;144.1371965;0.147020096;0;135.436056;214.8597138;0.147020096;0;34.62523797;70.72251722;1.07;7.177544069;7.177544069
Kantoor;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.770581577;0.01008;1;0.9406;1;nvt;0.086802003;1.56;0.454;1;;E;0.11;0;;;;0.210028709;0;100.3750364;143.4883661;0.147020096;0;135.0008951;214.2108833;0.147020096;0;34.62585869;70.72251722;1.07;7.177544069;7.177544069
Kantoor;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.393016494;0.01008;1;1;1;nvt;0.086802003;1.56;0.454;1;;C;0.11;0;Verbetering;;;0.210028709;0;92.65685948;138.5107714;0.147020096;0;127.2894061;209.2332887;0.147020096;0;34.63254657;70.72251722;1.07;7.177544069;7.177544069
Kantoor;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.361406554;0.01008;1;1.0168;1;nvt;0.086802003;1.56;0.454;1;;B;0.11;0;B) Van huidig naar label B;;;0.210028709;0;90.63289589;135.2859873;0.147020096;0;125.2597717;206.0085046;0.147020096;0;34.62687577;70.72251722;1.07;7.177544069;7.177544069
Kantoor;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.295927522;0.01008;1;1.07;1;nvt;0.086802003;1.56;0.454;1;;B;0.11;0;C) Van huidig naar Aplus (energieneutraal) ;;;0.210028709;0;86.5559166;132.3226722;0.147020096;0;121.1864467;203.0451895;0.147020096;0;34.63053007;70.72251722;1.07;7.177544069;7.177544069
Kantoor;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.49328773;0.01008;1;1.005889342;1;nvt;0.086802003;1.56;0.454;1;;D;0.11;0;F) Van label B naar Aplus;;;0.218708383;0;92.12423748;137.06785;0.153095868;0;126.7534845;207.7806832;0.153095868;0;34.62924704;70.71283319;1.07;7.177544069;7.177544069
Winkel;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.494577526;0.01008;1;0.830914286;1;nvt;0.035278814;1.56;0.567;1;;G;0.1301;0;;;;0.105826531;0;118.9490181;174.6128588;0.074078572;0;157.1719094;260.4424727;0.074078572;0;38.22289134;85.82961388;1.07;7.177544069;7.177544069
Winkel;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.392022619;0.01008;1;0.930804762;1;nvt;0.035278814;1.56;0.567;1;;E;0.1301;0;;;;0.106281874;0;118.4841843;173.84782;0.074397312;0;156.7070757;259.6774338;0.074397312;0;38.22289134;85.82961388;1.07;7.177544069;7.177544069
Winkel;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.20177555;0.01008;1;1.014733333;1;nvt;0.035278814;1.56;0.567;1;;C;0.1301;0;;;;0.10625751;0;107.8898486;167.4854081;0.074380257;0;146.1127399;253.315022;0.074380257;0;38.22289134;85.82961388;1.07;7.177544069;7.177544069
Winkel;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.19066847;0.01008;1;1.059866667;1;nvt;0.035278814;1.56;0.567;1;;B;0.1301;0;;;;0.106846695;0;105.7884127;163.718318;0.074792687;0;144.0113041;249.5479318;0.074792687;0;38.22289134;85.82961388;1.07;7.177544069;7.177544069
Winkel;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.149468062;0.01008;1;1.07;1;nvt;0.035278814;1.56;0.567;1;;B;0.1301;0;;;;0.105942251;0;100.258828;160.0868044;0.074159575;0;138.4817193;245.9164182;0.074159575;0;38.22289134;85.82961388;1.07;7.177544069;7.177544069
Winkel;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.290090777;0.01008;1;0.988137594;1;nvt;0.035278814;1.56;0.567;1;;D;0.1301;0;;;;0.110901412;0;110.0203366;167.7759292;0.077630988;0;148.252912;253.6152271;0.077630988;0;38.23257538;85.83929791;1.07;7.177544069;7.177544069
Gezondheidszorg;0<=1920;utiliteit;0.038334258;0.72;1;nvt;1.116715465;0.01008;1;0.83;1;nvt;0.032290345;1.56;0.232;1;;G;0.13;0;;;;0.275409927;0;116.0922274;171.8044883;0.192786949;0;158.0628408;251.1167457;0.192786949;0;41.9706134;79.31225744;1.07;7.177544069;7.177544069
Gezondheidszorg;1920<=1975;utiliteit;0.038334258;0.72;1;nvt;0.818769066;0.01008;1;0.874559524;1;nvt;0.032290345;1.56;0.232;1;;E;0.13;0;;;;0.273129682;0;115.5983415;171.0394494;0.191190778;0;157.5689549;250.3517069;0.191190778;0;41.9706134;79.31225744;1.07;7.177544069;7.177544069
Gezondheidszorg;1975<=1990;utiliteit;0.038334258;0.72;1;nvt;0.460581719;0.01008;1;0.970988095;1;nvt;0.032290345;1.56;0.232;1;;C;0.13;0;;;;0.273288018;0;105.8271489;165.0450309;0.191301613;0;147.7977623;244.3572884;0.191301613;0;41.9706134;79.31225744;1.07;7.177544069;7.177544069
Gezondheidszorg;1990<=1995;utiliteit;0.038334258;0.72;1;nvt;0.453116019;0.01008;1;1.040664286;1;nvt;0.032290345;1.56;0.232;1;;B;0.13;0;;;;0.275165438;0;103.5417163;161.2392047;0.192615807;0;145.5123297;240.5514621;0.192615807;0;41.9706134;79.31225744;1.07;7.177544069;7.177544069
Gezondheidszorg;1995<=2015;utiliteit;0.038334258;0.72;1;nvt;0.377296416;0.01008;1;1.07;1;nvt;0.032290345;1.56;0.232;1;;B;0.13;0;;;;0.2792402;0;98.40917705;157.6657953;0.19546814;0;140.3797904;236.9780527;0.19546814;0;41.9706134;79.31225744;1.07;7.177544069;7.177544069
