woningtype_str;bouwjaar_str;;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV_vast;V_RV_var;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;EnergieIndex;EnergieLabel;AC_WARM;R_COLL;;;;;;MVA_EG_vast;MVA_eg_var;RB_FAC_A;MVA_EG_EUR_MIN;MVA_EG_EUR_MAX;MVB_EG_vast;MVB_EG_var;RB_FAC_B;MVB_EG_EUR_MIN;MVB_EG_EUR_MAX;MVC_EG_vast;MVC_EG_var;RB_FAC_C;MVC_EG_EUR_MIN;MVC_EG_EUR_MAX;MVD_EG_vast;MVD_EG_var;RB_FAC_D;MVD_EG_EUR_MIN;MVD_EG_EUR_MAX;MVE_EG_vast;MVE_EG_var;RB_FAC_E;MVE_EG_EUR_MIN;MVE_EG_EUR_MAX;MVF_EG_vast;MVF_EG_var;RB_FAC_F;MVF_EG_EUR_MIN;MVF_EG_EUR_MAX;MV_RV;K_LTAS_MIN;K_LTAS_MAX;VL_OPP_WON_MIN;VL_OPP_WON_MAX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vrijstaand;voor 1946;;6.954661462;0.72;1;nvt;41.00425508;0.138388626;0.01008;1;0.992941176;1;nvt;0;nvt;9.7;1;2.23;G;12.5;0;;;;;;28.81784118;0.18957346;0.5;2441.366851;2754.604764;28.80994228;0.144707741;0.5;12690.21168;14318.42066;26.00046361;0.134597156;0.247221408;26295.98409;29119.57664;28.80994228;0.144707741;0.5;10248.84483;11563.81589;26.00046361;0.134597156;0.229802313;23854.61724;26364.97188;26.00046361;0.134597156;0;13605.77241;14801.15598;1.07;1511.207026;1511.207026;130;130;;8.5;75.32942719;67.90691337;;2983.843045;3366.682997;42.61018357;;15510;17500;25.51507998;;32139;35590;42.61018357;;12526.15696;14133.317;25.51507998;;29155.15696;32223.317;25.51507998;;16629;18090;1.07;1847;1847;130;130
vrijstaand;1946 - 1964;;6.954661462;0.72;1;nvt;41.01215397;0.145655608;0.01008;1;0.992941176;1;nvt;0;nvt;9.7;1;2.23;G;12.5;0;;;;;;29.75780958;0.194628752;0.5;838.5277199;946.1144487;20.38845729;0.190837283;0.5;12690.21168;14318.42066;31.12305445;0.114691943;0.247221408;26295.98409;29119.57664;20.38845729;0.190837283;0.5;12690.21168;14318.42066;31.12305445;0.114691943;0.241303333;26295.98409;29119.57664;31.12305445;0.114691943;0;13605.77241;14801.15598;1.07;1511.207026;1511.207026;130;130;;8.5;75.32942719;72.49250805;;1024.850118;1156.342815;42.61018357;;15510;17500;25.51507998;;32139;35590;42.61018357;;15510;17500;25.51507998;;32139;35590;25.51507998;;16629;18090;1.07;1847;1847;130;130
vrijstaand;1965 - 1974;;7.527398289;0.72;1;nvt;33.76044603;0.17535545;0.01008;1;0.968282828;1;nvt;0;nvt;9.56;1;2.23;F;12.5;0;Verbetering;;;;;28.47861349;0.190205371;0.5;864.383712;981.2061698;19.97308426;0.180094787;0.5;13802.95751;15668.44318;19.28904003;0.176303318;0.232598304;28765.298;31962.80589;19.97308426;0.180094787;0.5;13802.95751;15668.44318;19.28904003;0.176303318;0.226435812;28765.298;31962.80589;19.28904003;0.176303318;0;14962.34049;16294.36271;1.07;1674.027924;1674.027924;144;144;;9.2;76.34810583;73.93993869;;1056.451359;1199.231981;47.19897257;;16870;19150;28.26285783;;35157;39065;47.19897257;;16870;19150;28.26285783;;35157;39065;28.26285783;;18287;19915;1.07;2046;2046;144;144
vrijstaand;1975 - 1991;;7.936496022;0.72;1;nvt;34.21026421;0.137756714;0.01008;1;0.995681818;1;nvt;0;nvt;9.46;1;1.82;D;12.5;0;"A) Van huidig naar 2 labels hoger (E->C; F->D;G->E) (=Tussenlabel)";;;;;;;;;;25.09367654;0.146603476;0.5;13492.04324;15316.61913;21.95244431;0.147235387;0.18952127;27432.45759;30486.78126;;;;;;;;;;;21.95244431;0.147235387;0;13940.41435;15170.16214;1.07;1790.21168;1790.21168;154;154;;9.7;68.26850346;;;;;50.476679;;16490;18720;30.22555629;;33528;37261;;;;;;;;;30.22555629;;17038;18541;1.07;2188;2188;154;154
vrijstaand;1992 - 2005;;8.672871941;0.72;1;nvt;32.15497644;0.102369668;0.01008;1;1.013516484;1;nvt;0;nvt;9.28;1;1.21;B;12.5;0;B) Van huidig naar label B;;;;;;;;;;16.59257517;0.159557662;0.5;2110.944303;2642.771356;19.39067944;0.12985782;0.039034845;17070.01201;18893.7697;;;;;;;;;;;19.39067944;0.12985782;0;14959.06771;16250.99835;1.07;1999.669719;1999.669719;172;172;;10.6;58.37655057;;;;;56.37655057;;2580;3230;33.75841352;;20863;23092;;;;;;;;;33.75841352;;18283;19862;1.07;2444;2444;172;172
vrijstaand;2006 - 2014;;8.672871941;0.72;1;nvt;23.24786743;0.083728278;0.01008;1;1.05;1;nvt;0;nvt;9.28;1;0.9;A;12.5;0;C) Van huidig naar Aplus (energieneutraal) ;;;;;;;;;;;;;;;5.41374421;0.132701422;0;14959.06771;16250.99835;;;;;;;;;;;5.41374421;0.132701422;0;14959.06771;16250.99835;1.07;1999.669719;1999.669719;172;172;;10.6;59.44772167;;;;;;;;;33.75841352;;18283;19862;;;;;;;;;33.75841352;;18283;19862;1.07;2444;2444;172;172
2 onder 1 kap;voor 1946;;6.136465996;0.72;1;nvt;32.40003735;0.134913112;0.01008;1;0.981609195;1;nvt;0;nvt;9.9;1;2.49;F;10;0;D) Van tussenlabel naar B;;;;;25.0297372;0.153238547;0.5;3133.34718;3505.139868;10.12989517;0.230015798;0.5;10963.81925;12264.75004;14.19624588;0.177883096;0.247693313;20910.62153;23038.74794;10.12989517;0.230015798;0.5;7830.472066;8759.610169;14.19624588;0.177883096;0.220545095;17777.27435;19533.60807;14.19624588;0.177883096;0;9946.802282;10773.9979;1.07;1278.839514;1278.839514;110;110;;7.5;58.40396387;50.15235945;;3829.582673;4283.988378;32.93000674;;13400;14990;19.71856691;;25557;28158;32.93000674;;9570.417327;10706.01162;19.71856691;;21727.41733;23874.01162;19.71856691;;12157;13168;1.07;1563;1563;110;110
2 onder 1 kap;1946 - 1964;;6.136465996;0.72;1;nvt;35.65406579;0.101421801;0.01008;1;0.981609195;1;nvt;0;nvt;9.9;1;2.49;F;10;0;E) Van tussenlabel naar Aplus;;;;;25.9697056;0.104265403;0.5;870.0524518;973.2900188;17.06733593;0.153554502;0.5;10963.81925;12264.75004;17.4982996;0.14628752;0.247693313;20910.62153;23038.74794;17.06733593;0.153554502;0.5;10963.81925;12264.75004;17.4982996;0.14628752;0.240652011;20910.62153;23038.74794;17.4982996;0.14628752;0;9946.802282;10773.9979;1.07;1278.839514;1278.839514;110;110;;7.5;58.40396387;55.79948028;;1063.379703;1189.556847;32.93000674;;13400;14990;19.71856691;;25557;28158;32.93000674;;13400;14990;19.71856691;;25557;28158;19.71856691;;12157;13168;1.07;1563;1563;110;110
2 onder 1 kap;1965 - 1974;;6.668293049;0.72;1;nvt;38.35491158;0.091311216;0.01008;1;0.979375;1;nvt;0;nvt;9.77;1;2.49;E;10;0;F) Van label B naar Aplus;;;;;20.60957192;0.142180095;0.5;1470.564303;1656.618542;16.00799214;0.157661927;0.5;11446.55457;12894.76055;10.03421647;0.186097946;0.226697799;21774.63594;24090.12911;16.00799214;0.157661927;0.5;10664.90328;12014.21556;10.03421647;0.186097946;0.213883911;20992.98464;23209.58412;10.03421647;0.186097946;0;10328.08137;11195.36856;1.07;1429.387479;1429.387479;123;123;;8.15;57.75884194;54.4563255;;1797.326389;2024.722222;36.82173481;;13990;15760;22.048943;;26613;29443;36.82173481;;13034.66435;14683.7963;22.048943;;25657.66435;28366.7963;22.048943;;12623;13683;1.07;1747;1747;123;123
2 onder 1 kap;1975 - 1991;;6.668293049;0.72;1;nvt;32.18176782;0.091943128;0.01008;1;0.990918367;1;nvt;0;nvt;9.77;1;1.8;C;10;0;;;;;;;;;;;19.29677572;0.122590837;0.5;11642.92148;12992.944;16.2632844;0.149763033;0.177176091;21909.63819;24109.7658;;;;;;;;;;;16.2632844;0.149763033;0;10266.71671;11116.8218;1.07;1429.387479;1429.387479;123;123;;8.15;47.99587982;;;;;36.82173481;;14230;15880;22.048943;;26778;29467;;;;;;;;;22.048943;;12548;13587;1.07;1747;1747;123;123
2 onder 1 kap;1992 - 2005;;7.036481009;0.72;1;nvt;24.64227559;0.096366509;0.01008;1;1.003146067;1;nvt;0;nvt;9.68;1;1.36;B;10;0;;;;;;;;;;;16.38761524;0.123538705;0.5;3010.959315;3780.063054;15.50357101;0.126382306;0.053039909;13961.68743;15649.62468;;;;;;;;;;;15.50357101;0.126382306;0;10950.72812;11869.56163;1.07;1534.116499;1534.116499;132;132;;8.6;41.51600809;;;;;39.51600809;;3680;4620;23.66228029;;17064;19127;;;;;;;;;23.66228029;;13384;14507;1.07;1875;1875;132;132
2 onder 1 kap;2006 - 2014;;7.036481009;0.72;1;nvt;19.94938459;0.063823065;0.01008;1;1.05;1;nvt;0;nvt;9.68;1;0.9;A;10;0;;;;;;;;;;;;;;;;13.20341303;0.074249605;0;10950.72812;11869.56163;;;;;;;;;;;13.20341303;0.074249605;0;10950.72812;11869.56163;1.07;1534.116499;1534.116499;132;132;;8.6;41.22851833;;;;;;;;;23.66228029;;13384;14507;;;;;;;;;23.66228029;;13384;14507;1.07;1875;1875;132;132
rijwoning tussen;voor 1946;;5.80918781;0.72;1;nvt;21.40214173;0.146603476;0.01008;1;0.951666667;1;nvt;0;nvt;9.98;1;2.11;G;7.5;0;;;;;;17.63784473;0.155766193;0.5;2733.949334;3639.154688;13.03531709;0.149447077;0.5;9761.071911;12992.944;9.519993234;0.168404423;0.233288789;17313.83426;21133.98889;13.03531709;0.149447077;0.5;7027.122577;9353.789314;9.519993234;0.168404423;0.204637576;14579.88492;17494.8342;9.519993234;0.168404423;0;7552.762348;8141.044888;1.07;1185.56523;1185.56523;102;102;;7.1;46.30785151;40.64958783;;3341.437893;4447.781537;28.52016253;;11930;15880;17.07794164;;21161;25830;28.52016253;;8588.562107;11432.21846;17.07794164;;17819.56211;21382.21846;17.07794164;;9231;9950;1.07;1449;1449;102;102
rijwoning tussen;1946 - 1964;;5.19554121;0.72;1;nvt;28.19250135;0.090679305;0.01008;1;0.94908046;1;nvt;0;nvt;10.13;1;2.06;F;7.5;0;;;;;;19.39408113;0.127014218;0.5;1992.601506;2284.375298;15.37954716;0.115955766;0.5;6872.841916;7879.222339;19.15806217;0.076461295;0.248602426;13339.85888;14868.24801;15.37954716;0.115955766;0.5;4880.24041;5594.847041;19.15806217;0.076461295;0.221147497;11347.25737;12583.87271;19.15806217;0.076461295;0;6467.016964;6989.025672;1.07;1011.289596;1011.289596;87;87;;6.35;43.41583327;37.15175252;;2435.361217;2791.967681;24.32602098;;8400;9630;14.56647963;;16304;18172;24.32602098;;5964.638783;6838.032319;14.56647963;;13868.63878;15380.03232;14.56647963;;7904;8542;1.07;1236;1236;87;87
rijwoning tussen;1965 - 1974;;5.972826903;0.72;1;nvt;29.61120013;0.074565561;0.01008;1;0.958085106;1;nvt;0;nvt;9.94;1;2.18;E;7.5;0;;;;;;23.15622382;0.066034755;0.5;3206.648733;3683.448858;15.15969934;0.127014218;0.5;7813.766702;8975.604264;10.67091577;0.143443918;0.213742341;14508.24201;16210.90677;15.15969934;0.127014218;0.5;4914.653443;5645.418667;10.67091577;0.143443918;0.165447972;11609.12875;12880.72117;10.67091577;0.143443918;0;6694.475304;7235.302507;1.07;1232.202372;1232.202372;106;106;;7.3;43.80687129;37.45080075;;3919.171965;4501.917953;29.63860028;;9550;10970;17.74766484;;17732;19813;29.63860028;;6006.698456;6899.841054;17.74766484;;14188.69846;15742.84105;17.74766484;;8182;8843;1.07;1506;1506;106;106
rijwoning tussen;1975 - 1991;;5.972826903;0.72;1;nvt;23.56443867;0.075513428;0.01008;1;0.970434783;1;nvt;0;nvt;9.94;1;1.66;C;7.5;0;;;;;;;;;;;15.41404373;0.088467615;0.5;7167.392283;8157.408797;7.215939465;0.163349131;0.157675971;13971.50578;15511.34965;;;;;;;;;;;7.215939465;0.163349131;0;6804.113496;7353.94085;1.07;1232.202372;1232.202372;106;106;;7.3;36.7544033;;;;;29.63860028;;8760;9970;17.74766484;;17076;18958;;;;;;;;;17.74766484;;8316;8988;1.07;1506;1506;106;106
rijwoning tussen;1992 - 2005;;6.300105089;0.72;1;nvt;20.16580981;0.071090047;0.01008;1;0.997710843;1;nvt;0;nvt;9.86;1;1.37;B;7.5;0;;;;;;;;;;;14.02868501;0.080884676;0.5;818.1954661;1022.744333;6.976552305;0.138388626;0.034993508;8420.867738;9154.789071;;;;;;;;;;;6.976552305;0.138388626;0;7602.672271;8132.044738;1.07;1325.476655;1325.476655;114;114;;7.7;32.87547577;;;;;31.87547577;;1000;1250;19.08711124;;10292;11189;;;;;;;;;19.08711124;;9292;9939;1.07;1620;1620;114;114
rijwoning tussen;2006 - 2014;;6.300105089;0.72;1;nvt;12.48555704;0.059083728;0.01008;1;1.05;1;nvt;0;nvt;9.86;1;0.9;A;7.5;0;;;;;;;;;;;;;;;;13.05648911;0.041390205;0;7602.672271;8132.044738;;;;;;;;;;;13.05648911;0.041390205;0;7602.672271;8132.044738;1.07;1325.476655;1325.476655;114;114;;7.7;35.52896083;;;;;;;;;19.08711124;;9292;9939;;;;;;;;;19.08711124;;9292;9939;1.07;1620;1620;114;114
rijwoning hoek;voor 1946;;5.80918781;0.72;1;nvt;29.44447981;0.140600316;0.01008;1;0.951666667;1;nvt;0;nvt;9.98;1;2.11;G;7.5;0;;;;;;19.73484315;0.200631912;0.5;2733.949334;3639.154688;16.36865042;0.176303318;0.5;9761.071911;12992.944;15.143058;0.161769352;0.233288789;17313.83426;21133.98889;16.36865042;0.176303318;0.5;7027.122577;9353.789314;15.143058;0.161769352;0.204637576;14579.88492;17494.8342;15.143058;0.161769352;0;7552.762348;8141.044888;1.07;1185.56523;1185.56523;102;102;;7.1;46.30785151;40.64958783;;3341.437893;4447.781537;28.52016253;;11930;15880;17.07794164;;21161;25830;28.52016253;;8588.562107;11432.21846;17.07794164;;17819.56211;21382.21846;17.07794164;;9231;9950;1.07;1449;1449;102;102
rijwoning hoek;1946 - 1964;;5.19554121;0.72;1;nvt;36.12267512;0.086887836;0.01008;1;0.94908046;1;nvt;0;nvt;10.13;1;2.06;F;7.5;0;;;;;;22.54384416;0.139020537;0.5;1992.601506;2284.375298;18.82978413;0.131753555;0.5;6872.841916;7879.222339;20.38839392;0.104581359;0.248602426;13339.85888;14868.24801;18.82978413;0.131753555;0.5;4880.24041;5594.847041;20.38839392;0.104581359;0.221147497;11347.25737;12583.87271;20.38839392;0.104581359;0;6467.016964;6989.025672;1.07;1011.289596;1011.289596;87;87;;6.35;43.41583327;37.15175252;;2435.361217;2791.967681;24.32602098;;8400;9630;14.56647963;;16304;18172;24.32602098;;5964.638783;6838.032319;14.56647963;;13868.63878;15380.03232;14.56647963;;7904;8542;1.07;1236;1236;87;87
rijwoning hoek;1965 - 1974;;5.972826903;0.72;1;nvt;36.06206901;0.07835703;0.01008;1;0.958085106;1;nvt;0;nvt;9.94;1;2.18;E;7.5;0;;;;;;22.71609744;0.126066351;0.5;3206.648733;3683.448858;16.73347501;0.141864139;0.5;7813.766702;8975.604264;17.80962035;0.130173776;0.213742341;14508.24201;16210.90677;16.73347501;0.141864139;0.5;4914.653443;5645.418667;17.80962035;0.130173776;0.165447972;11609.12875;12880.72117;17.80962035;0.130173776;0;6694.475304;7235.302507;1.07;1232.202372;1232.202372;106;106;;7.3;43.80687129;37.45080075;;3919.171965;4501.917953;29.63860028;;9550;10970;17.74766484;;17732;19813;29.63860028;;6006.698456;6899.841054;17.74766484;;14188.69846;15742.84105;17.74766484;;8182;8843;1.07;1506;1506;106;106
rijwoning hoek;1975 - 1991;;5.972826903;0.72;1;nvt;29.4371085;0.08056872;0.01008;1;0.970434783;1;nvt;0;nvt;9.94;1;1.66;C;7.5;0;;;;;;;;;;;10.98465984;0.17093207;0.5;7167.392283;8157.408797;13.26270092;0.150394945;0.157675971;13971.50578;15511.34965;;;;;;;;;;;13.26270092;0.150394945;0;6804.113496;7353.94085;1.07;1232.202372;1232.202372;106;106;;7.3;36.7544033;;;;;29.63860028;;8760;9970;17.74766484;;17076;18958;;;;;;;;;17.74766484;;8316;8988;1.07;1506;1506;106;106
rijwoning hoek;1992 - 2005;;6.300105089;0.72;1;nvt;26.96486194;0.062875197;0.01008;1;0.997710843;1;nvt;0;nvt;9.86;1;1.37;B;7.5;0;;;;;;;;;;;16.82615736;0.091627172;0.5;818.1954661;1022.744333;9.403724501;0.151026856;0.034993508;8420.867738;9154.789071;;;;;;;;;;;9.403724501;0.151026856;0;7602.672271;8132.044738;1.07;1325.476655;1325.476655;114;114;;7.7;32.87547577;;;;;31.87547577;;1000;1250;19.08711124;;10292;11189;;;;;;;;;19.08711124;;9292;9939;1.07;1620;1620;114;114
rijwoning hoek;2006 - 2014;;6.300105089;0.72;1;nvt;13.49345594;0.080884676;0.01008;1;1.05;1;nvt;0;nvt;9.86;1;0.9;A;7.5;0;;;;;;;;;;;;;;;;9.218258466;0.099526066;0;7602.672271;8132.044738;;;;;;;;;;;9.218258466;0.099526066;0;7602.672271;8132.044738;1.07;1325.476655;1325.476655;114;114;;7.7;35.52896083;;;;;;;;;19.08711124;;9292;9939;;;;;;;;;19.08711124;;9292;9939;1.07;1620;1620;114;114
